subject,activity,sensor,component,domain,var,aggregation_type,value
18,LAYING,Accelerometer,Gravity,Time,Y,std,-0.969542030412088
19,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,Y,std,-0.95925383425
20,LAYING,Accelerometer,Gravity,Time,Y,std,-0.952506793418079
21,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,Y,std,-0.969330818455882
22,SITTING,Accelerometer,Gravity,Time,Y,std,-0.944104886363636
22,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,Y,std,-0.958295670545485
23,SITTING,Accelerometer,Gravity,Time,Y,std,-0.960318907096774
24,LAYING,Accelerometer,Gravity,Time,Y,std,-0.96089816664042
25,SITTING,Accelerometer,Gravity,Time,Y,std,-0.901088770963325
26,SITTING,Accelerometer,Gravity,Time,Y,std,-0.959713562227041
27,SITTING,Accelerometer,Gravity,Time,Y,std,-0.972505174787234
28,SITTING,Accelerometer,Gravity,Time,Y,std,-0.959880660436893
28,STANDING,Accelerometer,Gravity,Time,Y,std,-0.960933256704545
29,STANDING,Accelerometer,Gravity,Time,Y,std,-0.964643161017442
30,STANDING,Accelerometer,Gravity,Time,Y,std,-0.952288292767624
1,WALKING,Accelerometer,Gravity,Time,Z,std,-0.925817590867435
2,STANDING,Accelerometer,Gravity,Time,Z,std,-0.945365383907285
3,WALKING,Accelerometer,Gravity,Time,Z,std,-0.926966278211144
4,STANDING,Accelerometer,Gravity,Time,Z,std,-0.941403426072555
5,WALKING,Accelerometer,Gravity,Time,Z,std,-0.94207867884106
6,WALKING,Accelerometer,Gravity,Time,Z,std,-0.937910223507692
7,WALKING,Accelerometer,Gravity,Time,Z,std,-0.923304724090909
8,WALKING,Accelerometer,Gravity,Time,Z,std,-0.956116882020202
8,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Z,std,-0.905264808527472
9,STANDING,Accelerometer,Gravity,Time,Z,std,-0.920554317815972
10,LAYING,Accelerometer,Gravity,Time,Z,std,-0.927801700555556
10,STANDING,Accelerometer,Gravity,Time,Z,std,-0.961197428552083
11,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Z,std,-0.956812000411392
12,LAYING,Accelerometer,Gravity,Time,Z,std,-0.9468085636875
13,LAYING,Accelerometer,Gravity,Time,Z,std,-0.938727880275229
14,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Z,std,-0.915927846160991
15,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Z,std,-0.947240058048781
16,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Z,std,-0.945294028639344
17,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,Z,std,-0.946280153185841
17,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Z,std,-0.98129168137931
18,LAYING,Accelerometer,Gravity,Time,Z,std,-0.959434177692308
19,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,Z,std,-0.94180028475
20,LAYING,Accelerometer,Gravity,Time,Z,std,-0.940981537502825
21,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,Z,std,-0.953093993308823
22,SITTING,Accelerometer,Gravity,Time,Z,std,-0.92719241
22,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,Z,std,-0.939955773782609
23,SITTING,Accelerometer,Gravity,Time,Z,std,-0.934236146612903
24,LAYING,Accelerometer,Gravity,Time,Z,std,-0.955724566194226
25,SITTING,Accelerometer,Gravity,Time,Z,std,-0.880682330706602
26,SITTING,Accelerometer,Gravity,Time,Z,std,-0.955643363545918
27,SITTING,Accelerometer,Gravity,Time,Z,std,-0.959200394414894
28,SITTING,Accelerometer,Gravity,Time,Z,std,-0.946447412281553
28,STANDING,Accelerometer,Gravity,Time,Z,std,-0.945966059659091
29,STANDING,Accelerometer,Gravity,Time,Z,std,-0.941621790232558
30,STANDING,Accelerometer,Gravity,Time,Z,std,-0.92943263464752
1,WALKING,Accelerometer,Body,Time,Jerk_X,mean,0.0770930495126801
2,STANDING,Accelerometer,Body,Time,Jerk_X,mean,0.0785353156747351
3,WALKING,Accelerometer,Body,Time,Jerk_X,mean,0.0701731261988856
4,STANDING,Accelerometer,Body,Time,Jerk_X,mean,0.0788637845151419
5,WALKING,Accelerometer,Body,Time,Jerk_X,mean,0.0841019899622517
6,WALKING,Accelerometer,Body,Time,Jerk_X,mean,0.0813833604034769
7,WALKING,Accelerometer,Body,Time,Jerk_X,mean,0.0831829573168831
8,WALKING,Accelerometer,Body,Time,Jerk_X,mean,0.0686095366464646
8,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_X,mean,0.0927048369369231
9,STANDING,Accelerometer,Body,Time,Jerk_X,mean,0.0840171430291667
10,LAYING,Accelerometer,Body,Time,Jerk_X,mean,0.0794633942257576
10,STANDING,Accelerometer,Body,Time,Jerk_X,mean,0.080527512159375
11,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_X,mean,0.0830134540658228
12,LAYING,Accelerometer,Body,Time,Jerk_X,mean,0.070430311315625
13,LAYING,Accelerometer,Body,Time,Jerk_X,mean,0.0794393034550306
14,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_X,mean,0.0741757467665015
15,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_X,mean,0.0776897411304878
16,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_X,mean,0.0775488885374317
17,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_X,mean,0.081880267239528
17,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_X,mean,0.0758626965517241
18,LAYING,Accelerometer,Body,Time,Jerk_X,mean,0.077480921531044
19,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_X,mean,0.0774171147766389
20,LAYING,Accelerometer,Body,Time,Jerk_X,mean,0.079818125480791
21,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_X,mean,0.0822207874776961
22,SITTING,Accelerometer,Body,Time,Jerk_X,mean,0.105897183954545
22,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_X,mean,0.0771316429411706
23,SITTING,Accelerometer,Body,Time,Jerk_X,mean,0.0778588215843817
24,LAYING,Accelerometer,Body,Time,Jerk_X,mean,0.0784735003467192
25,SITTING,Accelerometer,Body,Time,Jerk_X,mean,0.0817657442063814
26,SITTING,Accelerometer,Body,Time,Jerk_X,mean,0.0808743261341837
27,SITTING,Accelerometer,Body,Time,Jerk_X,mean,0.0768320396617021
28,SITTING,Accelerometer,Body,Time,Jerk_X,mean,0.0792910308825243
28,STANDING,Accelerometer,Body,Time,Jerk_X,mean,0.0824062308022727
29,STANDING,Accelerometer,Body,Time,Jerk_X,mean,0.0788382324713372
30,STANDING,Accelerometer,Body,Time,Jerk_X,mean,0.0734799270148825
1,WALKING,Accelerometer,Body,Time,Jerk_Y,mean,0.0165908438802305
2,STANDING,Accelerometer,Body,Time,Jerk_Y,mean,0.00708771249764901
3,WALKING,Accelerometer,Body,Time,Jerk_Y,mean,0.0144664329060411
4,STANDING,Accelerometer,Body,Time,Jerk_Y,mean,0.00351340949514196
5,WALKING,Accelerometer,Body,Time,Jerk_Y,mean,0.0017656830384106
6,WALKING,Accelerometer,Body,Time,Jerk_Y,mean,0.000479281129661539
7,WALKING,Accelerometer,Body,Time,Jerk_Y,mean,0.00760909767418831
8,WALKING,Accelerometer,Body,Time,Jerk_Y,mean,0.00496415698757576
8,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Y,mean,-0.00137201536971429
9,STANDING,Accelerometer,Body,Time,Jerk_Y,mean,0.00678485848399306
10,LAYING,Accelerometer,Body,Time,Jerk_Y,mean,0.0169399674191919
10,STANDING,Accelerometer,Body,Time,Jerk_Y,mean,0.004611439794375
11,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Y,mean,0.0078044254343038
12,LAYING,Accelerometer,Body,Time,Jerk_Y,mean,0.0053115377979375
13,LAYING,Accelerometer,Body,Time,Jerk_Y,mean,0.00387961953328135
14,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Y,mean,0.00443682723817957
15,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Y,mean,0.00489392052706402
16,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Y,mean,0.00884018328270219
17,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_Y,mean,0.0083599305380531
17,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Y,mean,0.0100040808789655
18,LAYING,Accelerometer,Body,Time,Jerk_Y,mean,0.0128850449171841
19,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_Y,mean,0.0115812421960876
20,LAYING,Accelerometer,Body,Time,Jerk_Y,mean,0.00220928707107345
21,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_Y,mean,0.00350107553584853
22,SITTING,Accelerometer,Body,Time,Jerk_Y,mean,0.0320774996545455
22,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_Y,mean,0.0140196360738796
23,SITTING,Accelerometer,Body,Time,Jerk_Y,mean,0.0200470964972984
24,LAYING,Accelerometer,Body,Time,Jerk_Y,mean,0.00396900308574016
25,SITTING,Accelerometer,Body,Time,Jerk_Y,mean,0.00638633884442543
26,SITTING,Accelerometer,Body,Time,Jerk_Y,mean,0.00767709978181122
27,SITTING,Accelerometer,Body,Time,Jerk_Y,mean,0.00617714992829521
28,SITTING,Accelerometer,Body,Time,Jerk_Y,mean,0.0135107680737864
28,STANDING,Accelerometer,Body,Time,Jerk_Y,mean,0.0141872457548864
29,STANDING,Accelerometer,Body,Time,Jerk_Y,mean,0.00900161248883721
30,STANDING,Accelerometer,Body,Time,Jerk_Y,mean,0.00730438257971279
1,WALKING,Accelerometer,Body,Time,Jerk_Z,mean,-0.00910758730117003
2,STANDING,Accelerometer,Body,Time,Jerk_Z,mean,0.000755760748377483
3,WALKING,Accelerometer,Body,Time,Jerk_Z,mean,-0.000526818872875366
4,STANDING,Accelerometer,Body,Time,Jerk_Z,mean,-0.00737375142832808
5,WALKING,Accelerometer,Body,Time,Jerk_Z,mean,-0.0029537113427351
6,WALKING,Accelerometer,Body,Time,Jerk_Z,mean,-0.00225896302076923
7,WALKING,Accelerometer,Body,Time,Jerk_Z,mean,-0.00791725696048701
8,WALKING,Accelerometer,Body,Time,Jerk_Z,mean,-0.0110211649991919
8,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Z,mean,-0.0243776605506593
9,STANDING,Accelerometer,Body,Time,Jerk_Z,mean,-0.00102998088194444
10,LAYING,Accelerometer,Body,Time,Jerk_Z,mean,-0.0162372728227273
10,STANDING,Accelerometer,Body,Time,Jerk_Z,mean,-0.00128744623489583
11,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Z,mean,-0.00657424975259494
12,LAYING,Accelerometer,Body,Time,Jerk_Z,mean,0.0003081123684
13,LAYING,Accelerometer,Body,Time,Jerk_Z,mean,-0.0123485923641621
14,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Z,mean,-0.00253044692473994
15,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Z,mean,-0.00440993190077744
16,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Z,mean,-0.00143730005564208
17,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_Z,mean,0.00313640220584071
17,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Z,mean,-0.00236484369931035
18,LAYING,Accelerometer,Body,Time,Jerk_Z,mean,0.000848545124184616
19,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_Z,mean,-0.00186198850195833
20,LAYING,Accelerometer,Body,Time,Jerk_Z,mean,-0.00450611895602542
21,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_Z,mean,-0.010659072671299
22,SITTING,Accelerometer,Body,Time,Jerk_Z,mean,-0.0326983629140909
22,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_Z,mean,-0.00535471338117057
23,SITTING,Accelerometer,Body,Time,Jerk_Z,mean,-0.000717680881887096
24,LAYING,Accelerometer,Body,Time,Jerk_Z,mean,-0.00700960558805774
25,SITTING,Accelerometer,Body,Time,Jerk_Z,mean,-0.010346171499489
26,SITTING,Accelerometer,Body,Time,Jerk_Z,mean,-0.00724891943768878
27,SITTING,Accelerometer,Body,Time,Jerk_Z,mean,-0.00495000607441489
28,SITTING,Accelerometer,Body,Time,Jerk_Z,mean,0.00364494866063107
28,STANDING,Accelerometer,Body,Time,Jerk_Z,mean,-0.00247734002281818
29,STANDING,Accelerometer,Body,Time,Jerk_Z,mean,-0.00355290542467733
30,STANDING,Accelerometer,Body,Time,Jerk_Z,mean,-0.000653871890373369
1,WALKING,Accelerometer,Body,Time,Jerk_X,std,-0.524721922818732
2,STANDING,Accelerometer,Body,Time,Jerk_X,std,-0.557809603123841
3,WALKING,Accelerometer,Body,Time,Jerk_X,std,-0.635484688041056
4,STANDING,Accelerometer,Body,Time,Jerk_X,std,-0.631853083289621
5,WALKING,Accelerometer,Body,Time,Jerk_X,std,-0.575890535679801
6,WALKING,Accelerometer,Body,Time,Jerk_X,std,-0.531468310262154
7,WALKING,Accelerometer,Body,Time,Jerk_X,std,-0.615131377408279
8,WALKING,Accelerometer,Body,Time,Jerk_X,std,-0.75891396439596
8,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_X,std,-0.476492149967033
9,STANDING,Accelerometer,Body,Time,Jerk_X,std,-0.578305161360069
10,LAYING,Accelerometer,Body,Time,Jerk_X,std,-0.388135257723232
10,STANDING,Accelerometer,Body,Time,Jerk_X,std,-0.820707124664583
11,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_X,std,-0.659323083055063
12,LAYING,Accelerometer,Body,Time,Jerk_X,std,-0.582418267596875
13,LAYING,Accelerometer,Body,Time,Jerk_X,std,-0.638889532599083
14,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_X,std,-0.641964198633003
15,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_X,std,-0.624055782158537
16,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_X,std,-0.72786174352459
17,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_X,std,-0.655962717654867
17,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_X,std,-0.994019934482759
18,LAYING,Accelerometer,Body,Time,Jerk_X,std,-0.734644450054945
19,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_X,std,-0.571088266146083
20,LAYING,Accelerometer,Body,Time,Jerk_X,std,-0.627098830685593
21,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_X,std,-0.699763344205784
22,SITTING,Accelerometer,Body,Time,Jerk_X,std,0.0296014137090909
22,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_X,std,-0.630182598844147
23,SITTING,Accelerometer,Body,Time,Jerk_X,std,-0.608183751830914
24,LAYING,Accelerometer,Body,Time,Jerk_X,std,-0.74030054488189
25,SITTING,Accelerometer,Body,Time,Jerk_X,std,-0.79682335007335
26,SITTING,Accelerometer,Body,Time,Jerk_X,std,-0.682815652993112
27,SITTING,Accelerometer,Body,Time,Jerk_X,std,-0.700549974357447
28,SITTING,Accelerometer,Body,Time,Jerk_X,std,-0.713004659097087
28,STANDING,Accelerometer,Body,Time,Jerk_X,std,-0.643135700714773
29,STANDING,Accelerometer,Body,Time,Jerk_X,std,-0.623456414216366
30,STANDING,Accelerometer,Body,Time,Jerk_X,std,-0.679007254150131
1,WALKING,Accelerometer,Body,Time,Jerk_Y,std,-0.470412403511239
2,STANDING,Accelerometer,Body,Time,Jerk_Y,std,-0.491875889831788
3,WALKING,Accelerometer,Body,Time,Jerk_Y,std,-0.55721186773783
4,STANDING,Accelerometer,Body,Time,Jerk_Y,std,-0.584063204701893
5,WALKING,Accelerometer,Body,Time,Jerk_Y,std,-0.506544358609603
6,WALKING,Accelerometer,Body,Time,Jerk_Y,std,-0.454437496885815
7,WALKING,Accelerometer,Body,Time,Jerk_Y,std,-0.622997416262013
8,WALKING,Accelerometer,Body,Time,Jerk_Y,std,-0.622728559242424
8,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Y,std,-0.369514157182418
9,STANDING,Accelerometer,Body,Time,Jerk_Y,std,-0.678923872274306
10,LAYING,Accelerometer,Body,Time,Jerk_Y,std,-0.446206050364596
10,STANDING,Accelerometer,Body,Time,Jerk_Y,std,-0.7341746674375
11,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Y,std,-0.608784226719937
12,LAYING,Accelerometer,Body,Time,Jerk_Y,std,-0.571359817082031
13,LAYING,Accelerometer,Body,Time,Jerk_Y,std,-0.569700547488012
14,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Y,std,-0.586459622773684
15,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Y,std,-0.594312678045091
16,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Y,std,-0.735080198043716
17,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_Y,std,-0.641279470927434
17,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Y,std,-0.989158120689655
18,LAYING,Accelerometer,Body,Time,Jerk_Y,std,-0.732969175274725
19,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_Y,std,-0.571311190432222
20,LAYING,Accelerometer,Body,Time,Jerk_Y,std,-0.527174601581921
21,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_Y,std,-0.66515912310562
22,SITTING,Accelerometer,Body,Time,Jerk_Y,std,-0.0270976569090909
22,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_Y,std,-0.59971491352709
23,SITTING,Accelerometer,Body,Time,Jerk_Y,std,-0.61898123051828
24,LAYING,Accelerometer,Body,Time,Jerk_Y,std,-0.685979796261942
25,SITTING,Accelerometer,Body,Time,Jerk_Y,std,-0.722502919364303
26,SITTING,Accelerometer,Body,Time,Jerk_Y,std,-0.678386582086227
27,SITTING,Accelerometer,Body,Time,Jerk_Y,std,-0.674792293475665
28,SITTING,Accelerometer,Body,Time,Jerk_Y,std,-0.687209413543689
28,STANDING,Accelerometer,Body,Time,Jerk_Y,std,-0.609963881289773
29,STANDING,Accelerometer,Body,Time,Jerk_Y,std,-0.635499779848779
30,STANDING,Accelerometer,Body,Time,Jerk_Y,std,-0.6607705539047
1,WALKING,Accelerometer,Body,Time,Jerk_Z,std,-0.717322274881844
2,STANDING,Accelerometer,Body,Time,Jerk_Z,std,-0.741885388311258
3,WALKING,Accelerometer,Body,Time,Jerk_Z,std,-0.796066240234604
4,STANDING,Accelerometer,Body,Time,Jerk_Z,std,-0.843353231167192
5,WALKING,Accelerometer,Body,Time,Jerk_Z,std,-0.78456199486755
6,WALKING,Accelerometer,Body,Time,Jerk_Z,std,-0.738955207627692
7,WALKING,Accelerometer,Body,Time,Jerk_Z,std,-0.664336860544416
8,WALKING,Accelerometer,Body,Time,Jerk_Z,std,-0.839104346969697
8,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Z,std,-0.575477616297802
9,STANDING,Accelerometer,Body,Time,Jerk_Z,std,-0.721610094569444
10,LAYING,Accelerometer,Body,Time,Jerk_Z,std,-0.68333034690404
10,STANDING,Accelerometer,Body,Time,Jerk_Z,std,-0.889739520625
11,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Z,std,-0.842511816044304
12,LAYING,Accelerometer,Body,Time,Jerk_Z,std,-0.79262193625
13,LAYING,Accelerometer,Body,Time,Jerk_Z,std,-0.728452966311927
14,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Z,std,-0.656855586102105
15,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Z,std,-0.825820881576219
16,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Z,std,-0.767873049380055
17,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_Z,std,-0.798055545516224
17,WALKING_UPSTAIRS,Accelerometer,Body,Time,Jerk_Z,std,-0.992004427241379
18,LAYING,Accelerometer,Body,Time,Jerk_Z,std,-0.847257765851648
19,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_Z,std,-0.705342976190833
20,LAYING,Accelerometer,Body,Time,Jerk_Z,std,-0.747362572898305
21,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_Z,std,-0.78182390148299
22,SITTING,Accelerometer,Body,Time,Jerk_Z,std,-0.444640860909091
22,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Jerk_Z,std,-0.783706594247492
23,SITTING,Accelerometer,Body,Time,Jerk_Z,std,-0.603048769571532
24,LAYING,Accelerometer,Body,Time,Jerk_Z,std,-0.736374232574803
25,SITTING,Accelerometer,Body,Time,Jerk_Z,std,-0.860669382640587
26,SITTING,Accelerometer,Body,Time,Jerk_Z,std,-0.778349460841837
27,SITTING,Accelerometer,Body,Time,Jerk_Z,std,-0.783632076781915
28,SITTING,Accelerometer,Body,Time,Jerk_Z,std,-0.824228169757282
28,STANDING,Accelerometer,Body,Time,Jerk_Z,std,-0.773531586988636
29,STANDING,Accelerometer,Body,Time,Jerk_Z,std,-0.793746797790698
30,STANDING,Accelerometer,Body,Time,Jerk_Z,std,-0.781644485013055
1,WALKING,Gyroscope,Body,Time,X,mean,-0.0208764064320173
2,STANDING,Gyroscope,Body,Time,X,mean,-0.0517030657821192
3,WALKING,Gyroscope,Body,Time,X,mean,-0.0248490682828446
4,STANDING,Gyroscope,Body,Time,X,mean,-0.0289417906907571
5,WALKING,Gyroscope,Body,Time,X,mean,-0.0294516873643046
6,WALKING,Gyroscope,Body,Time,X,mean,-0.0433611785374462
7,WALKING,Gyroscope,Body,Time,X,mean,-0.0518716929407792
8,WALKING,Gyroscope,Body,Time,X,mean,-0.0246599261523232
8,WALKING_UPSTAIRS,Gyroscope,Body,Time,X,mean,0.0189575502203297
9,STANDING,Gyroscope,Body,Time,X,mean,-0.0701318154561458
10,LAYING,Gyroscope,Body,Time,X,mean,-0.0150986647713131
10,STANDING,Gyroscope,Body,Time,X,mean,-0.0255225107895833
11,WALKING_UPSTAIRS,Gyroscope,Body,Time,X,mean,-0.0547328440272468
12,LAYING,Gyroscope,Body,Time,X,mean,-0.0628663472537188
13,LAYING,Gyroscope,Body,Time,X,mean,-0.0562470618980061
14,WALKING_UPSTAIRS,Gyroscope,Body,Time,X,mean,0.000253671358297214
15,WALKING_UPSTAIRS,Gyroscope,Body,Time,X,mean,-0.0281278780610671
16,WALKING_UPSTAIRS,Gyroscope,Body,Time,X,mean,-0.0122341446725137
17,WALKING_DOWNSTAIRS,Gyroscope,Body,Time,X,mean,-0.0137199915971209
17,WALKING_UPSTAIRS,Gyroscope,Body,Time,X,mean,-0.0257577297931034
18,LAYING,Gyroscope,Body,Time,X,mean,-0.0373993798891484
19,WALKING_DOWNSTAIRS,Gyroscope,Body,Time,X,mean,-0.0385723953346511
20,LAYING,Gyroscope,Body,Time,X,mean,-0.0242488811785028
21,WALKING_DOWNSTAIRS,Gyroscope,Body,Time,X,mean,-0.0276346639303578
22,SITTING,Gyroscope,Body,Time,X,mean,0.119614300727273
22,WALKING_DOWNSTAIRS,Gyroscope,Body,Time,X,mean,-0.0173964514566555
23,SITTING,Gyroscope,Body,Time,X,mean,-0.0220890418013172
24,LAYING,Gyroscope,Body,Time,X,mean,-0.0212578096847769
25,SITTING,Gyroscope,Body,Time,X,mean,-0.00298151164792176
26,SITTING,Gyroscope,Body,Time,X,mean,-0.020659932105102
27,SITTING,Gyroscope,Body,Time,X,mean,-0.0608887602789628
28,SITTING,Gyroscope,Body,Time,X,mean,-0.0567790137621359
28,STANDING,Gyroscope,Body,Time,X,mean,-0.0735291511680114
29,STANDING,Gyroscope,Body,Time,X,mean,-0.0101831910869331
30,STANDING,Gyroscope,Body,Time,X,mean,-0.0354229280326632
1,WALKING,Gyroscope,Body,Time,Y,mean,-0.0880722729400576
2,STANDING,Gyroscope,Body,Time,Y,mean,-0.0568420186817881
3,WALKING,Gyroscope,Body,Time,Y,mean,-0.0743565308442815
4,STANDING,Gyroscope,Body,Time,Y,mean,-0.0787229907785489
5,WALKING,Gyroscope,Body,Time,Y,mean,-0.0774316445596026
6,WALKING,Gyroscope,Body,Time,Y,mean,-0.0706129097498462
7,WALKING,Gyroscope,Body,Time,Y,mean,-0.0646077113078896
8,WALKING,Gyroscope,Body,Time,Y,mean,-0.0744394650058586
8,WALKING_UPSTAIRS,Gyroscope,Body,Time,Y,mean,-0.100127874875824
9,STANDING,Gyroscope,Body,Time,Y,mean,-0.0729884312991667
10,LAYING,Gyroscope,Body,Time,Y,mean,-0.0917433860077424
10,STANDING,Gyroscope,Body,Time,Y,mean,-0.0699903917025
11,WALKING_UPSTAIRS,Gyroscope,Body,Time,Y,mean,-0.0582275770813291
12,LAYING,Gyroscope,Body,Time,Y,mean,-0.0592027333975
13,LAYING,Gyroscope,Body,Time,Y,mean,-0.0616613787494801
14,WALKING_UPSTAIRS,Gyroscope,Body,Time,Y,mean,-0.0954921154823529
15,WALKING_UPSTAIRS,Gyroscope,Body,Time,Y,mean,-0.075878845519878
16,WALKING_UPSTAIRS,Gyroscope,Body,Time,Y,mean,-0.0724444803980874
17,WALKING_DOWNSTAIRS,Gyroscope,Body,Time,Y,mean,-0.0841275327556873
17,WALKING_UPSTAIRS,Gyroscope,Body,Time,Y,mean,-0.0661512840241379
18,LAYING,Gyroscope,Body,Time,Y,mean,-0.0678200104982143
19,WALKING_DOWNSTAIRS,Gyroscope,Body,Time,Y,mean,-0.0681420603177778
20,LAYING,Gyroscope,Body,Time,Y,mean,-0.0789448418069209
21,WALKING_DOWNSTAIRS,Gyroscope,Body,Time,Y,mean,-0.0784719736838971
22,SITTING,Gyroscope,Body,Time,Y,mean,-0.172162155445455
22,WALKING_DOWNSTAIRS,Gyroscope,Body,Time,Y,mean,-0.0892861352287625
23,SITTING,Gyroscope,Body,Time,Y,mean,-0.0825972963754032
24,LAYING,Gyroscope,Body,Time,Y,mean,-0.0782440202677165
25,SITTING,Gyroscope,Body,Time,Y,mean,-0.083900354157824
26,SITTING,Gyroscope,Body,Time,Y,mean,-0.0827415060904082
27,SITTING,Gyroscope,Body,Time,Y,mean,-0.0552177945716489
28,SITTING,Gyroscope,Body,Time,Y,mean,-0.0488593126606262
28,STANDING,Gyroscope,Body,Time,Y,mean,-0.0451436890589205
29,STANDING,Gyroscope,Body,Time,Y,mean,-0.0882883296441861
30,STANDING,Gyroscope,Body,Time,Y,mean,-0.0717482452402089
1,WALKING,Gyroscope,Body,Time,Z,mean,0.0862641666597983
2,STANDING,Gyroscope,Body,Time,Z,mean,0.0872599422291391
3,WALKING,Gyroscope,Body,Time,Z,mean,0.0866875497119062
4,STANDING,Gyroscope,Body,Time,Z,mean,0.0957174866009464
5,WALKING,Gyroscope,Body,Time,Z,mean,0.0866267116745033
6,WALKING,Gyroscope,Body,Time,Z,mean,0.0973130293888923
7,WALKING,Gyroscope,Body,Time,Z,mean,0.0977671721406169
8,WALKING,Gyroscope,Body,Time,Z,mean,0.0811768351261616
8,WALKING_UPSTAIRS,Gyroscope,Body,Time,Z,mean,0.0547905121285714
9,STANDING,Gyroscope,Body,Time,Z,mean,0.109092913237986
10,LAYING,Gyroscope,Body,Time,Z,mean,0.0852285528396465
10,STANDING,Gyroscope,Body,Time,Z,mean,0.10298476965625
11,WALKING_UPSTAIRS,Gyroscope,Body,Time,Z,mean,0.087284109682356
12,LAYING,Gyroscope,Body,Time,Z,mean,0.0960742146838125
13,LAYING,Gyroscope,Body,Time,Z,mean,0.098866059686422
